,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,公告日期,trade_date,time_distance,tier
503,688385,2022-12-31,288,复旦微电,2023-03-22,,,,2023-03-22,109.884078039632,1079783900.0,2023-02-28,2023-03-01,21 days,1
505,688387,2022-12-31,2054,信科移动,2023-04-20,,,,2023-04-20,43.458386735336,-669288900.0,2023-02-28,2023-03-01,50 days,1
507,688389,2022-12-31,4326,普门科技,2023-04-28,,,,2023-04-28,31.009981239536,249373700.0,2023-02-11,2023-03-01,58 days,1
508,688390,2022-12-31,3826,固德威,2023-04-27,,,,2023-04-27,133.352688728302,652302438.53,2023-02-28,2023-03-01,57 days,1
509,688391,2022-12-31,4873,钜泉科技,2023-04-29,,,,2023-04-29,97.283895584666,200043700.0,2023-02-28,2023-03-01,59 days,1
510,688392,2022-12-31,3399,骄成超声,2023-04-26,,,,2023-04-26,59.222458398073,110264100.0,2023-02-28,2023-03-01,56 days,1
515,688399,2022-12-31,3827,硕世生物,2023-04-27,,,,2023-04-27,57.025255228671,1873647800.0,2023-02-28,2023-03-01,57 days,1
517,688401,2022-12-31,2991,路维光电,2023-04-25,,,,2023-04-25,130.311778290993,120467800.0,2023-02-24,2023-03-01,55 days,1
518,688403,2022-12-31,2278,汇成股份,2023-04-21,,,,2023-04-21,26.347401833832,177288400.0,2023-02-28,2023-03-01,51 days,1
519,688408,2022-12-31,2055,中信博,2023-04-20,2023-04-28,,,2023-04-28,191.035303978766,43749300.0,2023-02-28,2023-03-01,50 days,1
520,688409,2022-12-31,3828,富创精密,2023-04-27,,,,2023-04-27,89.714669251287,239973500.0,2023-02-27,2023-03-01,57 days,1
521,688410,2022-12-31,1135,山外山,2023-04-03,,,,2023-04-03,200.286177291213,58475688.55,2023-02-27,2023-03-01,33 days,1
524,688420,2022-12-31,1163,美腾科技,2023-04-06,,,,2023-04-06,45.029833102177,124645600.0,2023-02-25,2023-03-01,36 days,1
526,688426,2022-12-31,3401,康为世纪,2023-04-26,,,,2023-04-26,24.624982319857,156837300.0,2023-02-28,2023-03-01,56 days,1
527,688432,2022-12-31,748,有研硅,2023-03-30,,,,2023-03-30,136.800585589168,351325400.0,2023-02-14,2023-03-01,29 days,1
529,688439,2022-12-31,1437,振华风光,2023-04-12,,,,2023-04-12,71.269972524973,303018200.0,2023-02-24,2023-03-01,42 days,1
533,688459,2022-12-31,1291,哈铁科技,2023-04-10,2023-04-19,,,2023-04-19,32.430395597705,115274700.0,2023-02-18,2023-03-01,40 days,1
534,688466,2022-12-31,4330,金科环境,2023-04-28,,,,2023-04-28,30.711896077877,81424100.0,2023-02-17,2023-03-01,58 days,1
537,688480,2022-12-31,2992,赛恩斯,2023-04-25,,,,2023-04-25,53.157573965027,68353000.0,2023-02-24,2023-03-01,55 days,1
541,688489,2022-12-31,515,三未信安,2023-03-28,,,,2023-03-28,41.512897097668,105703200.0,2023-02-24,2023-03-01,27 days,1
544,688499,2022-12-31,4332,利元亨,2023-04-28,,,,2023-04-28,51.086602796227,320811400.0,2023-02-28,2023-03-01,58 days,1
547,688503,2022-12-31,2058,聚和材料,2023-04-20,,,,2023-04-20,58.559100300363,391285958.89,2023-02-28,2023-03-01,50 days,1
555,688516,2022-12-31,4333,奥特维,2023-04-28,,,,2023-04-28,88.290364329748,698038700.0,2023-02-28,2023-03-01,58 days,1
557,688518,2022-12-31,2280,联赢激光,2023-04-21,,,,2023-04-21,198.63550554764,274780800.0,2023-02-28,2023-03-01,51 days,1
558,688520,2022-12-31,3408,神州细胞,2023-04-26,,,,2023-04-26,40.128575789184,-518995800.0,2023-02-24,2023-03-01,56 days,1
559,688521,2022-12-31,3409,芯原股份,2023-04-26,2023-03-25,,,2023-03-25,455.312058018116,73814300.0,2023-02-24,2023-03-01,56 days,1
563,688529,2022-12-31,4875,豪森股份,2023-04-29,2023-04-26,,,2023-04-26,36.789269001698,95980701.28,2023-02-28,2023-03-01,59 days,1
564,688533,2022-12-31,4335,上声电子,2023-04-28,,,,2023-04-28,41.513641998101,85850100.0,2023-02-28,2023-03-01,58 days,1
570,688556,2022-12-31,4336,高测股份,2023-04-28,2023-04-04,,,2023-04-04,356.657882411014,788612023.43,2023-02-28,2023-03-01,58 days,1
573,688559,2022-12-31,4337,海目星,2023-04-28,,,,2023-04-28,249.464600424289,381513300.0,2023-02-28,2023-03-01,58 days,1
576,688566,2022-12-31,4338,吉贝尔,2023-04-28,,,,2023-04-28,33.914791233136,153869893.79,2023-02-28,2023-03-01,58 days,1
579,688569,2022-12-31,179,铁科轨道,2023-03-17,,,,2023-03-17,40.992704935254,236892700.0,2023-02-28,2023-03-01,16 days,2
581,688575,2022-12-31,4878,亚辉龙,2023-04-29,,,,2023-04-29,398.270114033083,1020196100.0,2023-02-28,2023-03-01,59 days,1
583,688578,2022-12-31,1667,艾力斯,2023-04-15,2023-04-27,,,2023-04-27,627.683779672332,132981300.0,2023-02-28,2023-03-01,45 days,1
586,688585,2022-12-31,1093,上纬新材,2023-03-31,,,,2023-03-31,568.918918918919,84150000.0,2023-02-28,2023-03-01,30 days,1
589,688589,2022-12-31,309,力合微,2023-03-23,,,,2023-03-23,80.972612418019,76076000.0,2023-02-28,2023-03-01,22 days,1
590,688596,2022-12-31,2993,正帆科技,2023-04-25,,,,2023-04-25,53.490856446567,258482900.0,2023-02-14,2023-03-01,55 days,1
591,688597,2022-12-31,36,煜邦电力,2023-02-28,2023-03-16,,,2023-03-16,118.202215639419,79258900.0,2023-02-28,2023-03-01,-1 days,1
