,股票代码,accounting_period,序号,股票简称,首次预约时间,一次变更日期,二次变更日期,三次变更日期,实际披露时间,净利润-同比增长,净利润-净利润,净资产收益率,公告日期,trade_date,time_distance,tier,last_period,last_roe
297,603948,2022-12-31,3781,建业股份,2023-04-27,,,,2023-04-27,34.272904437726,389421500.0,20.94,2023-02-23,2023-03-15,43 days,1,2021-12-31,18.91
299,605117,2022-12-31,3346,德业股份,2023-04-26,2023-04-18,,,2023-04-18,166.221151934079,1540236511.93,46.58,2023-03-09,2023-03-15,42 days,1,2021-12-31,29.29
300,605177,2022-12-31,1350,东亚药业,2023-04-11,,,,2023-04-11,51.583676624415,103822779.03,5.78,2023-01-11,2023-03-15,27 days,1,2021-12-31,3.94
302,605499,2022-12-31,2502,东鹏饮料,2023-04-22,,,,2023-04-22,20.865765221234,1441880725.42,31.63,2023-02-21,2023-03-15,38 days,1,2021-12-31,36.48
308,688005,2022-12-31,1063,容百科技,2023-03-31,2023-03-29,,,2023-03-29,49.36405188217,1360768200.0,21.99,2023-02-25,2023-03-15,16 days,2,2021-12-31,18.41
309,688006,2022-12-31,3800,杭可科技,2023-04-27,,,,2023-04-27,107.298509786783,487395865.11,15.22,2023-02-28,2023-03-15,43 days,1,2021-12-31,8.8
311,688008,2022-12-31,4286,澜起科技,2023-04-28,,,,2023-04-28,56.714429150774,1299378100.0,14.18,2023-02-22,2023-03-15,44 days,1,2021-12-31,9.93
319,688019,2022-12-31,1432,安集科技,2023-04-12,,,,2023-04-12,139.671149250784,299790500.0,22.05,2023-02-28,2023-03-15,28 days,1,2021-12-31,11.11
330,688032,2022-12-31,3804,禾迈股份,2023-04-27,,,,2023-04-27,163.80005333603,532189700.0,8.61,2023-02-28,2023-03-15,43 days,1,2021-12-31,42.2
332,688035,2022-12-31,1655,德邦科技,2023-04-15,,,,2023-04-15,61.683922836785,122695300.0,11.94,2023-02-28,2023-03-15,31 days,1,2021-12-31,14.41
334,688037,2022-12-31,1807,芯源微,2023-04-18,,,,2023-04-18,155.314513991687,197484500.0,13.19,2023-02-22,2023-03-15,34 days,1,2021-12-31,9.2
337,688041,2022-12-31,1808,海光信息,2023-04-18,,,,2023-04-18,145.17961803451,802005800.0,8.47,2023-02-24,2023-03-15,34 days,1,2021-12-31,6.41
339,688046,2022-12-31,2032,药康生物,2023-04-20,,,,2023-04-20,30.922334954274,163558000.0,10.54,2023-02-28,2023-03-15,36 days,1,2021-12-31,17.3
342,688050,2022-12-31,3364,爱博医疗,2023-04-26,2023-04-19,,,2023-04-19,35.27040891959,231778000.0,13.06,2023-02-15,2023-03-15,42 days,1,2021-12-31,10.78
